How many times a week do you exercise?,How many times a week do you wash your hair?,Allergies?,Assigned to groups?,Linear Math?,"Of the dozen colors, what is your hair color?",Longest Hair Length?,"Of the dozen colors, what is your eye color?",How many NameSpace colors?,Star Wars Question,Winnie The Pooh,School Club?,Life the Universe and Everything?,Name of Computer,Combination to Air Shield,Airspeed of Swallow,Favorite Variety of Cookie?,Favorite flavor of ice cream?,Most Favorite Pizza Topping?,Least Favorite Pizza Topping?,Favorite computer language of those options?,Avg HRS SLEEP,Breakfast Drink,Usual night sleep,Median Sleep,Loaded Question: Watching Sports,Cup Mouth Down or Up?,Elevator Usage?,Left or right foot going up stairs?,Raise one eyebrow?,Vulcan sign of greeting?,Wiggle Ears?,Wiggle Ears Separately?,Watch Hand?,Right or left Footed?  Going up Stairs?,Shirt Color now?,How do you like your eggs?,Can you Juggle?,Skydiver?,Shave Frequency?,Like Dressing Up?,Can you tie a mens tie?,French Braid Hair?,Snack Food Preference?,Glasses of Water?,Do you wear glasses?,Eye lens issues?,Toilet Paper Roll Out Over Front,Do you have a pet?,Are you a dog person?,Rat Person?,Turtle Person?,Like to play Music?,Like Baking?,Like Wood Working?,Sewing?,Gardening?,Photography?,Electronics?,Building Boats?,Doll Houses?,Making Engines?,Making Miniatures?,Raising Chickens?,Horseback riding?,Teaching Others?,Helping Children?,Playing Cards?,Playing Computer Games?,Watching Movies?,Poetry?,Shopping?,What order do you put your socks and pants on?,WantAssignmentToGroup,Watch Hand?.1
2,7,Pollens,yes,True,Brown,SixToTen,Brown,12,force,pooh,un,42,deep thought,12345,african or european swallow?,Peanut butter,strawberry,pineapples,spinach,JavaScript,7-8,milk,7-8,7,Somewhat,Mouth up,I usually ride the elevator.,right,yes,yes,no,no,left,right,red,Scrambled,no,no,Twice a week,No,No,No,popcorn,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,pants before socks,yes,left
6,3_to_4,No,no,True,Brown,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,african or european swallow?,Chocolate chip,chocolate,pepperoni,anchovies,ASSEMBLY (Intel or Motorola),7,water,7,7,Somewhat,Mouth up,the stairs are always faster.,dont know,yes,yes,yes,no,left,right,green,Scrambled,yes,no,Twice a week,Yes,Full Windsor,No,bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the back,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,socks before pants,no,left
3,7,Pollens,yes,True,Brown,SixUnder,Blue,12,force,pooh,cs_club,42,deep thought,12345,african or european swallow?,Macadamia nut,chocolate,sausage,peppers,JavaScript,7,coffee,7,7,Somewhat,Mouth down,the stairs are always faster.,right,yes,yes,no,no,right,right,pink,Scrambled,no,no,Once a week,Yes,Half Windsor,No,popcorn,3 to 4,"No, not yet.","I have perfect vision, so far.",out over the front,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,dont know,yes,left
5,5_to_6,No,no,True,Yellow,SixUnder,Blue,12,force,pooh,none,42,deep thought,12345,african or european swallow?,Oatmeal raisin,mint cookies and cream,sausage,anchovies,JavaScript,8,orange juice,9,9,More than average,Mouth down,the stairs are always faster.,right,no,yes,yes,no,right,ambidextrous,green,Omlette,yes,no,Once a week,Yes,Half Windsor,No,carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
2,7,No,no,True,Brown,SixUnder,Cyan,12,force,pooh,none,42,deep thought,12345,african or european swallow?,Chocolate chip,mint chocolate chip,sausage,pineapples,JavaScript,8,sports drink,8,8,A lot more than average,Mouth up,the stairs are always faster.,right,yes,yes,no,no,left,left,blue,Omlette,yes,no,Once a day,Yes,Half Windsor,No,carrots and cellery,3 to 4,"No, not yet.","I have perfect vision, so far.",out over the front,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,pants before socks,no,right
1,7,No,yes,True,Black,SixToTen,Black,12,fourth,pooh,math,42,deep thought,12345,it varies.,Double chocolate,mint chip,olives,spinach,BASIC,8,milk,8,8,Somewhat,Mouth up,the stairs are always faster.,right,yes,yes,no,no,left,right,gray,Over easy,no,no,Twice a week,No,Full Windsor,No,m&ms or candy,1 to 2,Yes.,I use corrective lenses or contacts,out over the back,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,pants before socks,yes,right
4,3_to_4,No,yes,True,Brown,OverTen,Brown,12,force,pooh,anime,42,deep thought,1234,african or european swallow?,Chocolate chip,vanilla,cheese,bacon,JavaScript,8.25,tea,8.5,8.5,Not at all,Mouth down,the stairs are always faster.,right,yes,yes,yes,no,right,left,blue,Scrambled,no,no,Once a day,Yes,No,No,m&ms or candy,3 to 4,"No, not yet.","I have perfect vision, so far.",out over the front,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,yes,right
0,2,No,yes,True,Black,SixToTen,Black,12,force,pooh,none,42,deep thought,1234,african or european swallow?,Chocolate chip,mint chocolate chip,mushrooms,anchovies,JavaScript,8,tea,8,8,Not at all,Mouth up,I always ride the elevator.,ambidextrous,yes,yes,no,no,right,left,black,Hate eggs,no,no,Once a week,Yes,No,No,popcorn,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,yes,right
3,7,Pollens,yes,True,Black,SixToTen,Brown,12,force,pooh,none,42,deep thought,1234,african or european swallow?,Chocolate chip,cherry garcia,bacon,black olives,JavaScript,6,water,8,6,Not at all,Mouth up,I usually ride the elevator.,right,yes,yes,no,no,left,right,black,Over easy,no,no,Once a week,No,Half Windsor,No,tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,pants before socks,yes,right
1,7,Pollens,yes,True,Black,SixToTen,Brown,12,force,pooh,chess,42,deep thought,12345,african or european swallow?,Chocolate chip,vanilla,pepperoni,onions,JavaScript,7,tea,7,7,Somewhat,Mouth up,the stairs are always faster.,right,yes,yes,no,no,left,right,white,Hate eggs,no,no,Once a week,No,Half Windsor,No,carrots and cellery,3 to 4,Yes.,I use corrective lenses or contacts,out over the front,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes,no,pants before socks,yes,right
3,3_to_4,Pollens,no,True,Black,SixUnder,Black,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,chocolate,onions,pineapples,JavaScript,7,milk,7,7,About average,Mouth up,the stairs are always faster.,right,no,no,no,no,left,right,blue,Omlette,no,no,Once a week,No,No,No,bacon,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,pants before socks,no,left
1,3_to_4,Pollens,yes,True,Black,OverFifteen,Brown,12,force,pooh,robotics,42,deep thought,12345,african or european swallow?,Macadamia nut,pistachio,mushrooms,black olives,JavaScript,7,coffee,7,7,Not at all,Mouth up,the stairs are always faster.,right,yes,yes,no,no,right,right,green,Omlette,no,no,Once a week,No,No,No,popcorn,3 to 4,Yes.,I use corrective lenses or contacts,out over the front,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,pants before socks,yes,left
4,5_to_6,No,yes,True,Brown,SixUnder,Blue,12,force,pooh,none,42,deep thought,12345,african or european swallow?,Chocolate chip,vanilla,pepperoni,anchovies,JavaScript,9,orange juice,9,9,Not at all,Mouth up,I usually ride the elevator.,right,yes,yes,no,no,right,right,black,Scrambled,yes,no,Twice a week,Yes,Full Windsor,No,popcorn,3 to 4,"No, not yet.","I have perfect vision, so far.",out over the back,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,pants before socks,yes,right
2,7,No,yes,True,Brown,SixUnder,Brown,12,force,pooh,chess,42,N/A,N/A,african or european swallow?,Sugar cookies,coffee,pineapples,onions,JavaScript,6,tea,6,5,Somewhat,Mouth up,the stairs are always faster.,right,yes,yes,yes,yes,right,right,gray,Scrambled,no,no,Twice a week,Yes,Full Windsor,No,tortilla chips,3 to 4,Yes.,I use corrective lenses or contacts,out over the front,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,socks before pants,yes,right
4,3_to_4,No,no,True,Brown,SixUnder,Brown,12,force,pooh,science,42,deep thought,12345,african or european swallow?,Chocolate chip,black rasberry chip,sausage,black olives,JavaScript,7,fruit juice,7,7,About average,Mouth up,the stairs are always faster.,left,yes,yes,no,no,right,left,red,Over easy,no,no,Once a day,Yes,No,No,carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
4,3_to_4,No,yes,True,Brown,SixToTen,Blue,12,force,pooh,radio,42,deep thought,12345,african or european swallow?,Chocolate chip,mint chocolate oreo,mushrooms,shrimp,JavaScript,7,coffee,7,7,A lot more than average,Mouth down,the stairs are always faster.,right,yes,yes,no,no,right,left,black,Over easy,no,no,Shave? Never touch the stuff!,Yes,Half Windsor,No,popcorn,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,socks before pants,yes,right
3,7,Pollens,no,True,Black,SixToTen,Black,12,force,pooh,none,42,deep thought,12345,24mph,Double chocolate,vanilla,cheese,shrimp,ASSEMBLY (Intel or Motorola),9,coffee,9,9,Not at all,Mouth down,the stairs are always faster.,right,no,yes,no,no,right,right,pink,Over easy,no,no,Once a week,Yes,Full Windsor,No,carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,no,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,left
2,7,No,yes,True,Brown,SixUnder,Blue,12,force,pooh,tech crew,42,deep thought,12345,african or european swallow?,Sugar cookies,cookies and cream,sausage,shrimp,ASSEMBLY (Intel or Motorola),7,fruit juice,7,7,Somewhat,Mouth down,the stairs are always faster.,right,no,yes,no,no,right,right,blue,Over easy,no,no,Twice a week,No,Half Windsor,No,popcorn,3 to 4,"No, not yet.","I have perfect vision, so far.",out over the back,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,pants before socks,yes,right
5,3_to_4,Scents,yes,True,Brown,SixToTen,Green,12,force,pooh,gamedev,42,deep thought,12345,african or european swallow?,Oatmeal raisin,mint chocolate chip,olives,mushrooms,JavaScript,8,water,8,8,More than average,Mouth up,the stairs are always faster.,left,yes,yes,no,no,left,left,blue,Scrambled,no,no,Twice a week,Yes,Full Windsor,No,tortilla chips,3 to 4,Yes.,I use corrective lenses or contacts,out over the front,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,socks before pants,yes,left
0,2,Pollens,yes,True,Brown,OverTen,Brown,12,force,pooh,robotics,42,N/A,12345,african or european swallow?,Chocolate chip,mint chocolate chip,sausage,onions,Ruby,7,milk,8,7.5,Not at all,Mouth down,Wait. There is an elevator in the building?,right,yes,yes,yes,yes,left,right,black,Scrambled,no,no,Once a day,No,Half Windsor,No,popcorn,3 to 4,"No, not yet.","I have perfect vision, so far.",out over the front,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,socks before pants,yes,left
3,7,No,yes,True,Brown,SixToTen,Brown,12,force,pooh,none,42,deep thought,12345,african or european swallow?,Peanut butter,mint chocolate chip,cheese,shrimp,PERL,7,tea,7,7,Not at all,Mouth up,the stairs are always faster.,right,yes,no,no,no,right,right,white,Omlette,no,no,Shave? Never touch the stuff!,No,No,No,tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,pants before socks,yes,right
6,7,No,no,True,Brown,SixToTen,Brown,12,force,pooh,none,42,deep thought,12345,african or european swallow?,Chocolate chip,mint chocolate chip,cheese,shrimp,Ruby,8,orange juice,8,8,Not at all,Mouth down,the stairs are always faster.,right,no,yes,no,no,right,left,red,Fried,no,no,Twice a week,No,Half Windsor,No,bacon,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,pants before socks,no,left
1,3_to_4,No,no,True,Brown,OverFifteen,Brown,12,force,pooh,math,42,deep thought,12345,african or european swallow?,Double chocolate,chocolate,cheese,pineapples,ASSEMBLY (Intel or Motorola),8,orange juice,8,8,About average,Mouth up,the stairs are always faster.,right,yes,yes,no,no,right,right,gray,Fried,no,no,Once a week,Yes,No,No,bacon,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,pants before socks,no,left
3,7,No,yes,True,Yellow,SixUnder,Green,12,force,pooh,math,42,deep thought,12345,african or european swallow?,I dont like cookies. They are crumby.,sweet corn and goat cheese,anchovies,cheese,JavaScript,8,coffee,8,8,Somewhat,Mouth down,the stairs are always faster.,left,yes,yes,yes,yes,right,right,black,Over easy,no,no,Twice a week,Yes,Full Windsor,No,m&ms or candy,5 to 8,Yes.,"I have perfect vision, so far.",out over the front,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,dont know,yes,left
7,5_to_6,Pollens,no,True,Brown,SixUnder,Green,12,force,pooh,none,42,deep thought,12345,african or european swallow?,Peanut butter,caramel,cheese,anchovies,ASSEMBLY (Intel or Motorola),6,water,6,6,Not at all,Mouth down,the stairs are always faster.,right,yes,yes,no,no,left,right,orange,Over easy,no,no,Shave? Never touch the stuff!,Yes,Full Windsor,No,bacon,3 to 4,Yes.,I use corrective lenses or contacts,out over the front,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,pants before socks,no,left
2,3_to_4,No,no,True,Black,OverTen,Brown,12,fourth,pooh,library,42,deep thought,12345,african or european swallow?,Butter,saffron,olives,pineapples,JavaScript,8,tea,8,8,Not at all,Mouth down,I usually ride the elevator.,right,no,yes,no,no,right,left,green,Over easy,no,no,Once a week,Yes,Half Windsor,No,carrots and cellery,1 to 2,Yes.,I use corrective lenses or contacts,out over the front,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,pants before socks,no,right
3,3_to_4,No,no,True,Black,SixUnder,Black,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,chocolate,bacon,anchovies,JavaScript,6,milk,6,5,About average,Mouth down,I usually ride the elevator.,right,no,yes,no,no,left,right,gray,Omlette,no,no,Twice a week,No,No,No,carrots and cellery,1 to 2,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,pants before socks,no,left
3,7,No,yes,True,Black,SixUnder,Black,12,force,pooh,ncc,42,deep thought,12345,24mph,Chocolate chip,peanut butter pretzel,ham,hamburger,JavaScript,8,milk,10,8,More than average,Mouth down,I usually ride the elevator.,right,yes,yes,no,no,left,right,black,Omlette,yes,no,Once a week,Yes,Full Windsor,No,tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,pants before socks,yes,left
5,3_to_4,No,no,True,Black,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,roasted almond,mushrooms,cheese,JavaScript,6,coffee,6,6,More than average,Mouth up,the stairs are always faster.,right,no,yes,no,no,right,right,red,Omlette,no,no,Twice a week,Yes,Full Windsor,No,carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
4,7,No,no,True,Black,SixUnder,Brown,12,force,pooh&pals,none,42,deep thought,12345,24mph,Chocolate chip,strawberry,mushrooms,cheese,JavaScript,7,water,7,N/A,Not at all,Mouth up,the stairs are always faster.,right,no,no,yes,no,left,right,blue,Fried,no,no,Twice a week,Yes,Half Windsor,No,bacon,3 to 4,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
0,2,No,no,True,Black,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,chocolate chips,cheese,onions,JavaScript,6,milk,6,6,More than average,Mouth down,the stairs are always faster.,right,no,no,no,no,left,right,red,Hate eggs,no,no,Once a week,No,Half Windsor,No,bacon,3 to 4,"No, not yet.","I have perfect vision, so far.",out over the back,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,pants before socks,no,left
2,3_to_4,No,yes,True,Black,SixUnder,Brown,12,force,pooh,trivia,42,deep thought,12345,25,Chocolate chip,vanilla,olives,pepperoni,JavaScript,7,milk,8,7,About average,Mouth down,the stairs are always faster.,ambidextrous,no,yes,no,no,left,right,blue,Scrambled,no,no,Once a week,No,No,No,popcorn,5 to 8,Yes.,I use corrective lenses or contacts,out over the back,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,pants before socks,yes,left
2,5_to_6,No,no,True,Black,SixToTen,Brown,12,force,pooh,overly dramatic club,42,deep thought,12345,24mph,Chocolate chip,cookies and cream,onions,cheese,JavaScript,7,milk,6,6,More than average,Mouth up,I usually ride the elevator.,right,no,yes,no,no,left,right,blue,Omlette,yes,no,Twice a week,No,Half Windsor,No,bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the back,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,left
3,1,No,no,False,Brown,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,strawberry,onions,bacon,JavaScript,7,fruit juice,7,7,About average,Mouth up,Wait. There is an elevator in the building?,right,no,no,no,no,right,right,orange,Hate eggs,no,no,Twice a week,No,Full Windsor,No,bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",out over the back,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
2,7,Pollens,no,True,Black,SixUnder,Black,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,mint,onions,pepperoni,JavaScript,6,milk,6,6,About average,Mouth down,I usually ride the elevator.,right,no,yes,no,no,left,right,red,Scrambled,no,no,Shave? Never touch the stuff!,Yes,Full Windsor,No,carrots and cellery,3 to 4,"No, not yet.","I have perfect vision, so far.",out over the front,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,pants before socks,no,right
3,3_to_4,No,no,True,Black,SixUnder,Brown,12,force,pooh,none,42,deep thought,12345,24mph,Chocolate chip,chocolate,onions,anchovies,JavaScript,6,milk,8,6,A lot more than average,Mouth down,the stairs are always faster.,right,no,yes,no,no,left,right,white,Omlette,no,no,Once a week,Yes,No,No,carrots and cellery,3 to 4,Yes.,I use corrective lenses or contacts,out over the back,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
